Name,Type
ARRAY_CONSTRAIN,Array
BYCOL,Array
BYROW,Array
CHOOSECOLS,Array
CHOOSEROWS,Array
FLATTEN,Array
FREQUENCY,Array
GROWTH,Array
HSTACK,Array
LINEST,Array
LOGEST,Array
MAKEARRAY,Array
MAP,Array
MDETERM,Array
MINVERSE,Array
MMULT,Array
REDUCE,Array
SCAN,Array
SUMPRODUCT,Array
SUMX2MY2,Array
SUMX2PY2,Array
SUMXMY2,Array
TOCOL,Array
TOROW,Array
TRANSPOSE,Array
TREND,Array
VSTACK,Array
WRAPCOLS,Array
WRAPROWS,Array
DAVERAGE,Database
DCOUNT,Database
DCOUNTA,Database
DGET,Database
DMAX,Database
DMIN,Database
DPRODUCT,Database
DSTDEV,Database
DSTDEVP,Database
DSUM,Database
DVAR,Database
DVARP,Database
DATE,Date
DATEDIF,Date
DATEVALUE,Date
DAY,Date
DAYS,Date
DAYS360,Date
EDATE,Date
EOMONTH,Date
EPOCHTODATE,Date
HOUR,Date
ISOWEEKNUM,Date
MINUTE,Date
MONTH,Date
NETWORKDAYS,Date
NETWORKDAYS.INTL,Date
NOW,Date
SECOND,Date
TIME,Date
TIMEVALUE,Date
TODAY,Date
WEEKDAY,Date
WEEKNUM,Date
WORKDAY,Date
WORKDAY.INTL,Date
YEAR,Date
YEARFRAC,Date
BIN2DEC,Engineering
BIN2HEX,Engineering
BIN2OCT,Engineering
BITAND,Engineering
BITLSHIFT,Engineering
BITOR,Engineering
BITRSHIFT,Engineering
BITXOR,Engineering
COMPLEX,Engineering
DEC2BIN,Engineering
DEC2HEX,Engineering
DEC2OCT,Engineering
DELTA,Engineering
ERF,Engineering
ERF.PRECISE,Engineering
GESTEP,Engineering
HEX2BIN,Engineering
HEX2DEC,Engineering
HEX2OCT,Engineering
IMABS,Engineering
IMAGINARY,Engineering
IMARGUMENT,Engineering
IMCONJUGATE,Engineering
IMCOS,Engineering
IMCOSH,Engineering
IMCOT,Engineering
IMCOTH,Engineering
IMCSC,Engineering
IMCSCH,Engineering
IMDIV,Engineering
IMEXP,Engineering
IMLOG,Engineering
IMLOG10,Engineering
IMLOG2,Engineering
IMPRODUCT,Engineering
IMREAL,Engineering
IMSEC,Engineering
IMSECH,Engineering
IMSIN,Engineering
IMSINH,Engineering
IMSUB,Engineering
IMSUM,Engineering
IMTAN,Engineering
IMTANH,Engineering
OCT2BIN,Engineering
OCT2DEC,Engineering
OCT2HEX,Engineering
FILTER,Filter
SORT,Filter
SORTN,Filter
UNIQUE,Filter
ACCRINT,Financial
ACCRINTM,Financial
AMORLINC,Financial
COUPDAYBS,Financial
COUPDAYS,Financial
COUPDAYSNC,Financial
COUPNCD,Financial
COUPNUM,Financial
COUPPCD,Financial
CUMIPMT,Financial
CUMPRINC,Financial
DB,Financial
DDB,Financial
DISC,Financial
DOLLARDE,Financial
DOLLARFR,Financial
DURATION,Financial
EFFECT,Financial
FV,Financial
FVSCHEDULE,Financial
INTRATE,Financial
IPMT,Financial
IRR,Financial
ISPMT,Financial
MDURATION,Financial
MIRR,Financial
NOMINAL,Financial
NPER,Financial
NPV,Financial
PDURATION,Financial
PMT,Financial
PPMT,Financial
PRICE,Financial
PRICEDISC,Financial
PRICEMAT,Financial
PV,Financial
RATE,Financial
RECEIVED,Financial
RRI,Financial
SLN,Financial
SYD,Financial
TBILLEQ,Financial
TBILLPRICE,Financial
TBILLYIELD,Financial
VDB,Financial
XIRR,Financial
XNPV,Financial
YIELD,Financial
YIELDDISC,Financial
YIELDMAT,Financial
ARRAYFORMULA,Google
DETECTLANGUAGE,Google
GOOGLEFINANCE,Google
GOOGLETRANSLATE,Google
IMAGE,Google
QUERY,Google
SPARKLINE,Google
ERROR.TYPE,Info
ISBLANK,Info
ISDATE,Info
ISEMAIL,Info
ISERR,Info
ISERROR,Info
ISFORMULA,Info
ISLOGICAL,Info
ISNA,Info
ISNONTEXT,Info
ISNUMBER,Info
ISREF,Info
ISTEXT,Info
N,Info
NA,Info
TYPE,Info
CELL,Info
AND,Logical
FALSE,Logical
IF,Logical
IFERROR,Logical
IFNA,Logical
IFS,Logical
LAMBDA,Logical
LET,Logical
NOT,Logical
OR,Logical
SWITCH,Logical
TRUE,Logical
XOR,Logical
ADDRESS,Lookup
CHOOSE,Lookup
COLUMN,Lookup
COLUMNS,Lookup
FORMULATEXT,Lookup
GETPIVOTDATA,Lookup
HLOOKUP,Lookup
INDEX,Lookup
INDIRECT,Lookup
LOOKUP,Lookup
MATCH,Lookup
OFFSET,Lookup
ROW,Lookup
ROWS,Lookup
VLOOKUP,Lookup
XLOOKUP,Lookup
ABS,Math
ACOS,Math
ACOSH,Math
ACOT,Math
ACOTH,Math
ASIN,Math
ASINH,Math
ATAN,Math
ATAN2,Math
ATANH,Math
BASE,Math
CEILING,Math
CEILING.MATH,Math
CEILING.PRECISE,Math
COMBIN,Math
COMBINA,Math
COS,Math
COSH,Math
COT,Math
COTH,Math
COUNTBLANK,Math
COUNTIF,Math
COUNTIFS,Math
COUNTUNIQUE,Math
CSC,Math
CSCH,Math
DECIMAL,Math
DEGREES,Math
ERFC,Math
ERFC.PRECISE,Math
EVEN,Math
EXP,Math
FACT,Math
FACTDOUBLE,Math
FLOOR,Math
FLOOR.MATH,Math
FLOOR.PRECISE,Math
GAMMALN,Math
GAMMALN.PRECISE,Math
GCD,Math
IMLN,Math
IMPOWER,Math
IMSQRT,Math
INT,Math
ISEVEN,Math
ISO.CEILING,Math
ISODD,Math
LCM,Math
LN,Math
LOG,Math
LOG10,Math
MOD,Math
MROUND,Math
MULTINOMIAL,Math
MUNIT,Math
ODD,Math
PI,Math
POWER,Math
PRODUCT,Math
QUOTIENT,Math
RADIANS,Math
RAND,Math
RANDARRAY,Math
RANDBETWEEN,Math
ROUND,Math
ROUNDDOWN,Math
ROUNDUP,Math
SEC,Math
SECH,Math
SEQUENCE,Math
SERIESSUM,Math
SIGN,Math
SIN,Math
SINH,Math
SQRT,Math
SQRTPI,Math
SUBTOTAL,Math
SUM,Math
SUMIF,Math
SUMIFS,Math
SUMSQ,Math
TAN,Math
TANH,Math
TRUNC,Math
ADD,Operator
CONCAT,Operator
DIVIDE,Operator
EQ,Operator
GT,Operator
GTE,Operator
ISBETWEEN,Operator
LT,Operator
LTE,Operator
MINUS,Operator
MULTIPLY,Operator
NE,Operator
POW,Operator
UMINUS,Operator
UNARY_PERCENT,Operator
UNIQUE,Operator
UPLUS,Operator
CONVERT,Parser
TO_DATE,Parser
TO_DOLLARS,Parser
TO_PERCENT,Parser
TO_PURE_NUMBER,Parser
TO_TEXT,Parser
AVEDEV,Statistical
AVERAGE,Statistical
AVERAGE.WEIGHTED,Statistical
AVERAGEA,Statistical
AVERAGEIF,Statistical
AVERAGEIFS,Statistical
BETA.DIST,Statistical
BETA.INV,Statistical
BETADIST,Statistical
BETAINV,Statistical
BINOM.DIST,Statistical
BINOM.INV,Statistical
BINOMDIST,Statistical
CHIDIST,Statistical
CHIINV,Statistical
CHISQ.DIST,Statistical
CHISQ.DIST.RT,Statistical
CHISQ.INV,Statistical
CHISQ.INV.RT,Statistical
CHISQ.TEST,Statistical
CHITEST,Statistical
CONFIDENCE,Statistical
CONFIDENCE.NORM,Statistical
CONFIDENCE.T,Statistical
CORREL,Statistical
COUNT,Statistical
COUNTA,Statistical
COVAR,Statistical
COVARIANCE.P,Statistical
COVARIANCE.S,Statistical
CRITBINOM,Statistical
DEVSQ,Statistical
EXPON.DIST,Statistical
EXPONDIST,Statistical
F.DIST,Statistical
F.DIST.RT,Statistical
F.INV,Statistical
F.INV.RT,Statistical
F.TEST,Statistical
FDIST,Statistical
FINV,Statistical
FISHER,Statistical
FISHERINV,Statistical
FORECAST,Statistical
FORECAST.LINEAR,Statistical
FTEST,Statistical
GAMMA,Statistical
GAMMA.DIST,Statistical
GAMMA.INV,Statistical
GAMMADIST,Statistical
GAMMAINV,Statistical
GAUSS,Statistical
GEOMEAN,Statistical
HARMEAN,Statistical
HYPGEOM.DIST,Statistical
HYPGEOMDIST,Statistical
INTERCEPT,Statistical
KURT,Statistical
LARGE,Statistical
LOGINV,Statistical
LOGNORM.DIST,Statistical
LOGNORM.INV,Statistical
LOGNORMDIST,Statistical
MARGINOFERROR,Statistical
MAX,Statistical
MAXA,Statistical
MAXIFS,Statistical
MEDIAN,Statistical
MIN,Statistical
MINA,Statistical
MINIFS,Statistical
MODE,Statistical
MODE.MULT,Statistical
MODE.SNGL,Statistical
NEGBINOM.DIST,Statistical
NEGBINOMDIST,Statistical
NORM.DIST,Statistical
NORM.INV,Statistical
NORM.S.DIST,Statistical
NORM.S.INV,Statistical
NORMDIST,Statistical
NORMINV,Statistical
NORMSDIST,Statistical
NORMSINV,Statistical
PEARSON,Statistical
PERCENTILE,Statistical
PERCENTILE.EXC,Statistical
PERCENTILE.INC,Statistical
PERCENTRANK,Statistical
PERCENTRANK.EXC,Statistical
PERCENTRANK.INC,Statistical
PERMUTATIONA,Statistical
PERMUT,Statistical
PHI,Statistical
POISSON,Statistical
POISSON.DIST,Statistical
PROB,Statistical
QUARTILE,Statistical
QUARTILE.EXC,Statistical
QUARTILE.INC,Statistical
RANK,Statistical
RANK.AVG,Statistical
RANK.EQ,Statistical
RSQ,Statistical
SKEW,Statistical
SKEW.P,Statistical
SLOPE,Statistical
SMALL,Statistical
STANDARDIZE,Statistical
STDEV,Statistical
STDEV.P,Statistical
STDEV.S,Statistical
STDEVA,Statistical
STDEVP,Statistical
STDEVPA,Statistical
STEYX,Statistical
T.DIST,Statistical
T.DIST.2T,Statistical
T.DIST.RT,Statistical
T.INV,Statistical
T.INV.2T,Statistical
T.TEST,Statistical
TDIST,Statistical
TINV,Statistical
TRIMMEAN,Statistical
TTEST,Statistical
VAR,Statistical
VAR.P,Statistical
VAR.S,Statistical
VARA,Statistical
VARP,Statistical
VARPA,Statistical
WEIBULL,Statistical
WEIBULL.DIST,Statistical
Z.TEST,Statistical
ZTEST,Statistical
ARABIC,Text
ASC,Text
CHAR,Text
CLEAN,Text
CODE,Text
CONCATENATE,Text
DOLLAR,Text
EXACT,Text
FIND,Text
FINDB,Text
FIXED,Text
JOIN,Text
LEFT,Text
LEFTB,Text
LEN,Text
LENB,Text
LOWER,Text
MID,Text
MIDB,Text
PROPER,Text
REGEXEXTRACT,Text
REGEXMATCH,Text
REGEXREPLACE,Text
REPLACE,Text
REPLACEB,Text
REPT,Text
RIGHT,Text
RIGHTB,Text
ROMAN,Text
SEARCH,Text
SEARCHB,Text
SPLIT,Text
SUBSTITUTE,Text
T,Text
TEXT,Text
TEXTJOIN,Text
TRIM,Text
UNICHAR,Text
UNICODE,Text
UPPER,Text
VALUE,Text
ENCODEURL,Web
HYPERLINK,Web
IMPORTDATA,Web
IMPORTFEED,Web
IMPORTHTML,Web
IMPORTRANGE,Web
IMPORTXML,Web
ISURL,Web